State,District,Market,Commodity,Arrival_Date,Modal_Price,Arrivals
Maharashtra,Nashik,Lasalgaon,Onion,01/01/1999,365.65,56.1
Maharashtra,Nashik,Lasalgaon,Onion,03/01/1999,356.76,31.0
Maharashtra,Nashik,Lasalgaon,Onion,05/01/1999,353.99,44.0
Maharashtra,Nashik,Lasalgaon,Onion,07/01/1999,375.0,44.6
Maharashtra,Nashik,Lasalgaon,Onion,09/01/1999,364.37,21.8
Maharashtra,Nashik,Lasalgaon,Onion,11/01/1999,361.09,17.3
Maharashtra,Nashik,Lasalgaon,Onion,13/01/1999,366.49,22.4
Maharashtra,Nashik,Lasalgaon,Onion,15/01/1999,376.77,32.2
Maharashtra,Nashik,Lasalgaon,Onion,17/01/1999,381.99,43.2
Maharashtra,Nashik,Lasalgaon,Onion,19/01/1999,363.01,44.6
Maharashtra,Nashik,Lasalgaon,Onion,21/01/1999,384.98,65.7
Maharashtra,Nashik,Lasalgaon,Onion,23/01/1999,378.44,33.2
Maharashtra,Nashik,Lasalgaon,Onion,25/01/1999,394.01,41.5
Maharashtra,Nashik,Lasalgaon,Onion,27/01/1999,382.51,46.8
Maharashtra,Nashik,Lasalgaon,Onion,29/01/1999,382.55,47.4
Maharashtra,Nashik,Lasalgaon,Onion,31/01/1999,384.69,44.9
Maharashtra,Nashik,Lasalgaon,Onion,02/02/1999,382.53,46.4
Maharashtra,Nashik,Lasalgaon,Onion,04/02/1999,389.33,72.3
Maharashtra,Nashik,Lasalgaon,Onion,06/02/1999,391.49,48.9
Maharashtra,Nashik,Lasalgaon,Onion,08/02/1999,398.44,46.7
Maharashtra,Nashik,Lasalgaon,Onion,10/02/1999,376.32,52.8
Maharashtra,Nashik,Lasalgaon,Onion,12/02/1999,393.62,46.8
Maharashtra,Nashik,Lasalgaon,Onion,14/02/1999,391.86,62.0
Maharashtra,Nashik,Lasalgaon,Onion,16/02/1999,411.78,60.7
Maharashtra,Nashik,Lasalgaon,Onion,18/02/1999,416.11,67.7
Maharashtra,Nashik,Lasalgaon,Onion,20/02/1999,390.79,17.0
Maharashtra,Nashik,Lasalgaon,Onion,22/02/1999,393.88,5.0
Maharashtra,Nashik,Lasalgaon,Onion,24/02/1999,397.98,61.6
Maharashtra,Nashik,Lasalgaon,Onion,26/02/1999,420.2,40.3
Maharashtra,Nashik,Lasalgaon,Onion,28/02/1999,410.8,55.7
Maharashtra,Nashik,Lasalgaon,Onion,02/03/1999,421.19,39.8
Maharashtra,Nashik,Lasalgaon,Onion,04/03/1999,416.9,61.0
Maharashtra,Nashik,Lasalgaon,Onion,06/03/1999,419.64,40.3
Maharashtra,Nashik,Lasalgaon,Onion,08/03/1999,423.75,55.1
Maharashtra,Nashik,Lasalgaon,Onion,10/03/1999,412.84,35.8
Maharashtra,Nashik,Lasalgaon,Onion,12/03/1999,405.03,50.2
Maharashtra,Nashik,Lasalgaon,Onion,14/03/1999,430.71,32.9
Maharashtra,Nashik,Lasalgaon,Onion,16/03/1999,423.91,38.2
Maharashtra,Nashik,Lasalgaon,Onion,18/03/1999,440.1,51.9
Maharashtra,Nashik,Lasalgaon,Onion,20/03/1999,422.65,48.7
Maharashtra,Nashik,Lasalgaon,Onion,22/03/1999,427.58,60.8
Maharashtra,Nashik,Lasalgaon,Onion,24/03/1999,427.98,61.6
Maharashtra,Nashik,Lasalgaon,Onion,26/03/1999,414.97,46.1
Maharashtra,Nashik,Lasalgaon,Onion,28/03/1999,427.04,59.6
Maharashtra,Nashik,Lasalgaon,Onion,30/03/1999,430.91,41.8
Maharashtra,Nashik,Lasalgaon,Onion,01/04/1999,432.46,45.3
Maharashtra,Nashik,Lasalgaon,Onion,03/04/1999,423.18,59.0
Maharashtra,Nashik,Lasalgaon,Onion,05/04/1999,417.05,43.2
