iter	Passed	Remaining
0	61	61800
1	107	53674
2	155	51780
3	210	52415
4	247	49342
5	292	48503
6	328	46554
7	365	45292
8	399	44017
9	437	43350
10	470	42328
11	498	41044
12	528	40103
13	555	39118
14	584	38351
15	609	37489
16	634	36713
17	657	35893
18	681	35180
19	703	34462
20	725	33844
21	747	33243
22	770	32723
23	793	32262
24	817	31900
25	840	31503
26	862	31067
27	881	30596
28	901	30200
29	921	29804
30	941	29429
31	962	29104
32	982	28777
33	1001	28467
34	1021	28158
35	1040	27868
36	1058	27559
37	1076	27246
38	1093	26943
39	1111	26683
40	1129	26423
41	1146	26150
42	1164	25905
43	1181	25678
44	1199	25454
45	1217	25243
46	1236	25063
47	1253	24869
48	1271	24681
49	1289	24502
50	1307	24333
51	1327	24202
52	1346	24055
53	1364	23902
54	1383	23769
55	1402	23645
56	1422	23532
57	1439	23380
58	1457	23250
59	1475	23109
60	1492	22977
61	1510	22851
62	1528	22731
63	1546	22612
64	1563	22488
65	1580	22367
66	1600	22283
67	1618	22178
68	1635	22062
69	1654	21978
70	1671	21868
71	1688	21767
72	1706	21668
73	1724	21583
74	1743	21499
75	1760	21409
76	1778	21317
77	1796	21230
78	1813	21142
79	1832	21068
80	1851	21001
81	1869	20931
82	1887	20854
83	1907	20805
84	1926	20733
85	1945	20674
86	1963	20610
87	1982	20550
88	2001	20491
89	2020	20429
90	2038	20364
91	2056	20293
92	2073	20223
93	2091	20154
94	2108	20084
95	2126	20023
96	2143	19956
97	2161	19893
98	2178	19825
99	2196	19767
100	2212	19693
101	2230	19638
102	2247	19574
103	2266	19523
104	2283	19467
105	2301	19410
106	2319	19357
107	2336	19300
108	2353	19236
109	2373	19203
110	2392	19159
111	2410	19110
112	2427	19052
113	2444	19002
114	2462	18951
115	2480	18903
116	2497	18846
117	2515	18803
118	2532	18746
119	2549	18699
120	2566	18644
121	2582	18587
122	2599	18533
123	2618	18501
124	2636	18458
125	2654	18409
126	2670	18357
127	2688	18315
128	2705	18266
129	2722	18216
130	2740	18179
131	2759	18148
132	2777	18105
133	2794	18060
134	2812	18020
135	2831	17989
136	2849	17952
137	2868	17918
138	2887	17886
139	2907	17858
140	2925	17822
141	2943	17783
142	2961	17746
143	2978	17708
144	2996	17667
145	3013	17625
146	3032	17598
147	3051	17567
148	3070	17537
149	3087	17495
150	3105	17461
151	3123	17426
152	3141	17392
153	3159	17358
154	3176	17318
155	3194	17280
156	3210	17238
157	3228	17204
158	3245	17168
159	3261	17124
160	3277	17078
161	3294	17041
162	3313	17014
163	3331	16980
164	3347	16940
165	3366	16912
166	3383	16874
167	3400	16841
168	3418	16809
169	3435	16775
170	3454	16745
171	3471	16710
172	3487	16671
173	3507	16652
174	3525	16620
175	3545	16598
176	3562	16565
177	3580	16533
178	3599	16508
179	3616	16473
180	3634	16447
181	3653	16420
182	3670	16385
183	3684	16341
184	3704	16319
185	3723	16293
186	3739	16257
187	3754	16216
188	3771	16184
189	3787	16147
190	3804	16115
191	3821	16083
192	3838	16049
193	3856	16023
194	3873	15991
195	3892	15965
196	3907	15927
197	3925	15900
198	3944	15875
199	3958	15834
200	3975	15804
201	3994	15778
202	4011	15749
203	4027	15715
204	4043	15679
205	4060	15650
206	4077	15619
207	4095	15592
208	4111	15560
209	4127	15525
210	4145	15501
211	4160	15465
212	4179	15441
213	4198	15422
214	4215	15390
215	4229	15352
216	4248	15330
217	4265	15302
218	4284	15279
219	4302	15254
220	4319	15226
221	4338	15203
222	4355	15176
223	4372	15148
224	4390	15122
225	4408	15098
226	4426	15072
227	4442	15043
228	4461	15020
229	4477	14989
230	4493	14959
231	4510	14931
232	4527	14904
233	4546	14882
234	4561	14848
235	4579	14825
236	4594	14790
237	4610	14762
238	4627	14733
239	4644	14707
240	4662	14682
241	4680	14658
242	4694	14625
243	4711	14597
244	4728	14571
245	4748	14554
246	4764	14524
247	4785	14509
248	4804	14490
249	4824	14473
250	4840	14444
251	4856	14415
252	4873	14389
253	4891	14367
254	4913	14353
255	4930	14328
256	4946	14301
257	4962	14272
258	4983	14256
259	4998	14225
260	5016	14204
261	5034	14181
262	5050	14152
263	5070	14134
264	5090	14117
265	5109	14100
266	5129	14082
267	5145	14054
268	5161	14027
269	5178	14000
270	5195	13976
271	5213	13953
272	5229	13925
273	5247	13904
274	5263	13875
275	5280	13851
276	5297	13827
277	5315	13805
278	5332	13780
279	5350	13758
280	5369	13738
281	5384	13708
282	5400	13682
283	5416	13656
284	5434	13633
285	5451	13610
286	5466	13581
287	5484	13558
288	5503	13540
289	5521	13517
290	5538	13495
291	5556	13473
292	5578	13461
293	5597	13442
294	5616	13421
295	5634	13401
296	5653	13381
297	5670	13357
298	5687	13333
299	5702	13305
300	5721	13285
301	5737	13259
302	5756	13242
303	5772	13217
304	5789	13192
305	5806	13169
306	5824	13147
307	5843	13128
308	5860	13105
309	5877	13083
310	5894	13059
311	5913	13040
312	5930	13015
313	5948	12994
314	5966	12974
315	5984	12953
316	6001	12931
317	6017	12905
318	6034	12882
319	6051	12860
320	6069	12838
321	6087	12816
322	6104	12795
323	6120	12770
324	6136	12745
325	6153	12722
326	6172	12703
327	6190	12683
328	6207	12660
329	6226	12641
330	6247	12626
331	6264	12604
332	6280	12580
333	6300	12563
334	6317	12541
335	6336	12522
336	6356	12504
337	6375	12487
338	6392	12465
339	6410	12443
340	6429	12426
341	6451	12412
342	6467	12387
343	6482	12362
344	6497	12336
345	6517	12318
346	6533	12295
347	6549	12270
348	6567	12249
349	6585	12230
350	6602	12207
351	6621	12189
352	6637	12165
353	6656	12147
354	6673	12125
355	6691	12103
356	6711	12088
357	6729	12067
358	6746	12045
359	6765	12027
360	6781	12004
361	6801	11987
362	6819	11967
363	6836	11944
364	6853	11922
365	6869	11899
366	6885	11876
367	6901	11852
368	6916	11826
369	6937	11811
370	6953	11789
371	6970	11768
372	6988	11746
373	7009	11732
374	7025	11709
375	7042	11686
376	7061	11669
377	7077	11646
378	7098	11631
379	7116	11611
380	7133	11590
381	7149	11566
382	7165	11544
383	7182	11521
384	7198	11499
385	7218	11481
386	7234	11459
387	7251	11437
388	7268	11416
389	7285	11394
390	7301	11372
391	7317	11350
392	7337	11333
393	7355	11312
394	7374	11294
395	7390	11272
396	7406	11249
397	7422	11227
398	7439	11206
399	7456	11184
400	7472	11162
401	7489	11141
402	7506	11119
403	7522	11098
404	7540	11077
405	7556	11055
406	7573	11033
407	7592	11015
408	7607	10993
409	7624	10971
410	7640	10949
411	7658	10930
412	7678	10913
413	7697	10896
414	7714	10875
415	7735	10858
416	7754	10841
417	7775	10826
418	7794	10808
419	7811	10787
420	7830	10769
421	7848	10749
422	7868	10732
423	7884	10710
424	7899	10688
425	7918	10669
426	7935	10648
427	7953	10629
428	7968	10606
429	7985	10584
430	8003	10566
431	8019	10544
432	8034	10520
433	8048	10496
434	8074	10486
435	8104	10484
436	8129	10473
437	8154	10462
438	8178	10451
439	8205	10443
440	8226	10427
441	8244	10408
442	8264	10391
443	8283	10372
444	8298	10349
445	8315	10328
446	8335	10311
447	8352	10291
448	8367	10268
449	8384	10248
450	8399	10224
451	8414	10201
452	8433	10183
453	8451	10164
454	8468	10143
455	8487	10125
456	8504	10105
457	8521	10084
458	8541	10067
459	8558	10046
460	8573	10023
461	8589	10003
462	8606	9981
463	8623	9961
464	8640	9941
465	8655	9918
466	8671	9896
467	8686	9874
468	8701	9851
469	8719	9832
470	8737	9813
471	8754	9793
472	8770	9771
473	8787	9751
474	8808	9735
475	8824	9714
476	8842	9694
477	8859	9675
478	8876	9654
479	8892	9634
480	8909	9613
481	8925	9592
482	8942	9571
483	8957	9549
484	8973	9528
485	8989	9506
486	9005	9485
487	9021	9465
488	9038	9445
489	9056	9426
490	9071	9404
491	9088	9384
492	9104	9362
493	9124	9346
494	9143	9328
495	9159	9307
496	9177	9288
497	9194	9267
498	9210	9247
499	9224	9224
500	9241	9204
501	9257	9183
502	9274	9164
503	9290	9142
504	9306	9121
505	9326	9104
506	9342	9084
507	9360	9065
508	9374	9042
509	9390	9022
510	9407	9002
511	9422	8980
512	9440	8962
513	9456	8941
514	9471	8919
515	9486	8898
516	9503	8878
517	9520	8859
518	9537	8838
519	9551	8817
520	9566	8795
521	9586	8778
522	9603	8758
523	9617	8736
524	9633	8716
525	9650	8696
526	9666	8676
527	9684	8657
528	9698	8635
529	9717	8617
530	9733	8597
531	9751	8578
532	9767	8558
533	9784	8538
534	9802	8519
535	9822	8502
536	9839	8483
537	9855	8463
538	9874	8445
539	9891	8426
540	9906	8405
541	9921	8384
542	9940	8366
543	9958	8347
544	9975	8328
545	9994	8310
546	10010	8290
547	10026	8269
548	10042	8250
549	10057	8229
550	10077	8211
551	10093	8191
552	10109	8171
553	10125	8151
554	10139	8130
555	10156	8110
556	10176	8093
557	10193	8074
558	10209	8054
559	10222	8032
560	10242	8015
561	10260	7996
562	10277	7977
563	10293	7957
564	10309	7937
565	10327	7919
566	10347	7902
567	10367	7885
568	10385	7866
569	10400	7846
570	10416	7825
571	10434	7807
572	10452	7788
573	10466	7768
574	10486	7750
575	10502	7730
576	10517	7710
577	10532	7689
578	10550	7671
579	10568	7653
580	10584	7633
581	10601	7614
582	10622	7597
583	10636	7577
584	10651	7556
585	10666	7535
586	10684	7517
587	10703	7499
588	10718	7479
589	10734	7459
590	10754	7442
591	10770	7422
592	10785	7402
593	10804	7384
594	10818	7364
595	10838	7346
596	10852	7326
597	10871	7308
598	10890	7290
599	10907	7271
600	10922	7251
601	10942	7234
602	10960	7216
603	10977	7197
604	10993	7177
605	11012	7160
606	11028	7140
607	11047	7122
608	11065	7104
609	11079	7083
610	11094	7063
611	11111	7044
612	11127	7024
613	11145	7006
614	11161	6987
615	11176	6967
616	11193	6948
617	11210	6929
618	11226	6910
619	11246	6892
620	11262	6873
621	11278	6854
622	11296	6836
623	11316	6818
624	11332	6799
625	11348	6780
626	11366	6761
627	11380	6741
628	11401	6724
629	11419	6706
630	11436	6687
631	11451	6667
632	11470	6650
633	11488	6632
634	11503	6612
635	11522	6594
636	11542	6577
637	11560	6559
638	11577	6540
639	11592	6520
640	11608	6501
641	11626	6483
642	11646	6466
643	11666	6449
644	11682	6429
645	11700	6411
646	11716	6392
647	11733	6373
648	11750	6355
649	11772	6339
650	11788	6319
651	11803	6300
652	11823	6282
653	11838	6263
654	11857	6245
655	11874	6227
656	11890	6207
657	11907	6188
658	11923	6169
659	11940	6151
660	11956	6132
661	11976	6115
662	11992	6095
663	12006	6075
664	12024	6057
665	12040	6038
666	12060	6021
667	12077	6002
668	12093	5983
669	12109	5964
670	12124	5944
671	12140	5925
672	12159	5908
673	12174	5888
674	12192	5870
675	12209	5851
676	12227	5833
677	12242	5814
678	12259	5795
679	12279	5778
680	12295	5759
681	12310	5740
682	12330	5723
683	12345	5703
684	12361	5684
685	12378	5665
686	12396	5647
687	12415	5630
688	12432	5611
689	12451	5594
690	12468	5575
691	12483	5556
692	12503	5538
693	12524	5522
694	12541	5503
695	12562	5487
696	12579	5468
697	12596	5450
698	12615	5432
699	12632	5413
700	12650	5395
701	12666	5376
702	12681	5357
703	12700	5339
704	12719	5322
705	12735	5303
706	12754	5285
707	12773	5267
708	12789	5249
709	12804	5230
710	12822	5211
711	12838	5193
712	12858	5175
713	12874	5157
714	12890	5138
715	12910	5120
716	12927	5102
717	12943	5083
718	12959	5064
719	12975	5045
720	12993	5027
721	13013	5010
722	13027	4991
723	13043	4972
724	13058	4953
725	13078	4935
726	13137	4933
727	13171	4921
728	13195	4905
729	13221	4889
730	13242	4873
731	13266	4857
732	13292	4841
733	13316	4825
734	13340	4809
735	13359	4792
736	13382	4775
737	13404	4758
738	13428	4742
739	13452	4726
740	13475	4710
741	13497	4693
742	13519	4676
743	13543	4660
744	13564	4642
745	13583	4624
746	13602	4606
747	13618	4588
748	13635	4569
749	13650	4550
750	13667	4531
751	13685	4513
752	13703	4494
753	13719	4476
754	13735	4457
755	13754	4439
756	13774	4421
757	13792	4403
758	13809	4384
759	13829	4367
760	13848	4349
761	13865	4330
762	13881	4311
763	13899	4293
764	13914	4274
765	13930	4255
766	13945	4236
767	13963	4218
768	13980	4199
769	14002	4182
770	14018	4163
771	14041	4146
772	14056	4127
773	14072	4109
774	14090	4090
775	14107	4072
776	14125	4054
777	14146	4036
778	14166	4019
779	14186	4001
780	14202	3982
781	14219	3964
782	14240	3946
783	14256	3927
784	14278	3910
785	14294	3892
786	14313	3873
787	14334	3856
788	14351	3837
789	14374	3820
790	14391	3802
791	14409	3784
792	14427	3766
793	14445	3747
794	14461	3729
795	14477	3710
796	14497	3692
797	14554	3684
798	14572	3666
799	14589	3647
800	14607	3629
801	14623	3610
802	14639	3591
803	14659	3573
804	14677	3555
805	14693	3536
806	14710	3518
807	14724	3498
808	14742	3480
809	14759	3462
810	14777	3443
811	14793	3425
812	14812	3407
813	14830	3388
814	14850	3370
815	14865	3352
816	14881	3333
817	14899	3314
818	14914	3296
819	14934	3278
820	14950	3259
821	14970	3241
822	14989	3223
823	15004	3204
824	15019	3186
825	15037	3167
826	15055	3149
827	15071	3130
828	15087	3112
829	15104	3093
830	15124	3075
831	15145	3058
832	15163	3040
833	15183	3022
834	15199	3003
835	15215	2984
836	15233	2966
837	15251	2948
838	15269	2930
839	15289	2912
840	15303	2893
841	15320	2874
842	15335	2855
843	15351	2837
844	15368	2819
845	15386	2800
846	15402	2782
847	15422	2764
848	15439	2745
849	15455	2727
850	15472	2709
851	15490	2690
852	15507	2672
853	15522	2653
854	15540	2635
855	15559	2617
856	15577	2599
857	15593	2580
858	15613	2562
859	15659	2549
860	15717	2537
861	15781	2526
862	15830	2513
863	15859	2496
864	15893	2480
865	15935	2465
866	15965	2449
867	15986	2431
868	16011	2413
869	16041	2397
870	16063	2379
871	16084	2361
872	16106	2343
873	16130	2325
874	16141	2305
875	16158	2287
876	16184	2269
877	16214	2252
878	16240	2235
879	16264	2217
880	16289	2200
881	16311	2182
882	16333	2164
883	16355	2146
884	16379	2128
885	16404	2110
886	16424	2092
887	16447	2074
888	16468	2056
889	16486	2037
890	16503	2018
891	16520	2000
892	16536	1981
893	16557	1963
894	16573	1944
895	16592	1925
896	16609	1907
897	16632	1889
898	16650	1870
899	16671	1852
900	16696	1834
901	16718	1816
902	16737	1797
903	16761	1780
904	16785	1762
905	16808	1743
906	16829	1725
907	16847	1706
908	16864	1688
909	16882	1669
910	16898	1650
911	16915	1632
912	16936	1613
913	16958	1595
914	16977	1577
915	16996	1558
916	17017	1540
917	17036	1521
918	17053	1503
919	17069	1484
920	17086	1465
921	17104	1446
922	17120	1428
923	17142	1410
924	17161	1391
925	17179	1372
926	17195	1354
927	17212	1335
928	17235	1317
929	17252	1298
930	17271	1280
931	17288	1261
932	17305	1242
933	17322	1224
934	17338	1205
935	17356	1186
936	17375	1168
937	17394	1149
938	17414	1131
939	17432	1112
940	17447	1093
941	17466	1075
942	17481	1056
943	17497	1037
944	17513	1019
945	17529	1000
946	17549	982
947	17564	963
948	17580	944
949	17596	926
950	17614	907
951	17629	888
952	17645	870
953	17662	851
954	17678	832
955	17696	814
956	17712	795
957	17731	777
958	17752	758
959	17772	740
960	17789	721
961	17806	703
962	17821	684
963	17837	666
964	17854	647
965	17873	629
966	17892	610
967	17910	592
968	17928	573
969	17944	554
970	17962	536
971	17980	517
972	17999	499
973	18018	480
974	18033	462
975	18052	443
976	18074	425
977	18093	407
978	18111	388
979	18127	369
980	18146	351
981	18164	332
982	18182	314
983	18203	295
984	18221	277
985	18237	258
986	18258	240
987	18280	222
988	18296	203
989	18313	184
990	18330	166
991	18350	147
992	18371	129
993	18387	110
994	18402	92
995	18421	73
996	18440	55
997	18456	36
998	18472	18
999	18493	0
